VAR00001;VAR00002;VAR00003;VAR00004;VAR00005;VAR00006;VAR00007;VAR00008;VAR00009
2;1;26;2;130;268,75;1331,4;232,9; 
2;1;27;2;130;268,75;1583,9;192,3; 
2;1;28;2;130;268,75;1529,3;365,6; 
2;1;29;2;130;268,75;1491,3;338,3; 
2;1;30;2;130;268,75;4049,8;170,8; 
2;1;31;2;130;268,75;1081,6;438,7; 
2;1;32;2;130;268,75;2044,2;316,3; 
2;1;33;2;130;268,75;1690,1;260,6; 
2;1;34;2;130;268,75;135,9;504,9; 
2;1;35;2;130;268,75;2515,6;905,1; 
2;1;36;2;130;268,75;1506;1412,3; 
2;1;37;2;130;268,75;3675,9;3,6; 
2;1;38;2;130;268,75;88,6;342,8; 
2;1;39;2;130;268,75;507,2;2645,4; 
2;1;40;2;130;268,75;2082,2;374,4; 
2;1;41;2;130;268,75;1038,6;590,5; 
2;1;42;2;130;268,75;1315,2;361,6; 
2;1;43;2;130;268,75;1645,3;401,5; 
2;1;44;2;130;268,75;1035;199,2; 
2;1;45;2;130;268,75;1454,3;1253,5; 
2;1;46;2;130;268,75;1665,2;371; 
2;1;47;2;130;268,75;1491,6;419,7; 
2;1;48;2;130;268,75;1495,8;422,1; 
2;2;0;2;130;268,75;427,6;160,4; 
2;2;1;2;130;268,75;2349,4;572,3; 
2;2;2;2;130;268,75;1490,7;414,1; 
2;2;3;2;130;268,75;1984,7;331,9; 
2;2;4;2;130;268,75;1435;383,9; 
2;2;5;2;130;268,75;2071,2;316,9; 
2;2;6;2;130;268,75;1235,5;652,9; 
2;2;7;2;130;268,75;1286,2;404,1; 
2;2;8;2;130;268,75;1025,8;590,1; 
2;2;9;2;130;268,75;1458,5;178,2; 
2;2;10;2;130;268,75;1258,1;181; 
2;2;11;2;130;268,75;1301,4;363,9; 
2;2;12;2;130;268,75;1160,3;517,1; 
2;2;13;2;130;268,75;1149,5;429,6; 
2;2;14;2;130;268,75;1441,4;412,1; 
2;2;15;2;130;268,75;1205,4;324; 
2;2;16;2;130;268,75;1130,8;395,3; 
2;2;17;2;130;268,75;1062,7;599,6; 
2;2;18;2;130;268,75;851,3;514,6; 
2;2;19;2;130;268,75;567;471; 
2;2;20;2;130;268,75;785;1180,5; 
2;2;21;2;130;268,75;1771,8;8,6; 
2;2;22;2;130;268,75;298,7;1057,7; 
2;2;23;2;130;268,75;1020,8;657,3; 
2;2;24;2;130;268,75;309,9;568; 
2;2;25;2;130;268,75;1276,4;956,4; 
2;2;26;2;130;268,75;1835,3;360,5; 
2;2;27;2;130;268,75;967,5;253,7; 
2;2;28;2;130;268,75;1713,6;211,8; 
2;2;29;2;130;268,75;538,8;255,8; 
2;2;30;2;130;268,75;1042,2;1907; 
2;2;31;2;130;268,75;1176,2;169,7; 
2;2;32;2;130;268,75;1473,2;189,2; 
2;2;33;2;130;268,75;939,3;1550,5; 
2;2;34;2;130;268,75;1072;199,2; 
2;2;35;2;130;268,75;1047,5;204,9; 
